asset,time,PriceUSD
eth,2020-01-01 00:00:00,129.963875336061
eth,2020-01-02 00:00:00,126.730876972531
eth,2020-01-03 00:00:00,133.800767095266
eth,2020-01-04 00:00:00,134.050349210988
eth,2020-01-05 00:00:00,134.982177089421
eth,2020-01-06 00:00:00,143.988824079486
eth,2020-01-07 00:00:00,143.248955698422
eth,2020-01-08 00:00:00,140.872484044418
eth,2020-01-09 00:00:00,137.473664114553
eth,2020-01-10 00:00:00,143.789400935126
eth,2020-01-11 00:00:00,142.846074284044
eth,2020-01-12 00:00:00,145.447126008182
eth,2020-01-13 00:00:00,143.910222209234
eth,2020-01-14 00:00:00,166.047976914085
eth,2020-01-15 00:00:00,165.85377936879
eth,2020-01-16 00:00:00,164.052933255406
eth,2020-01-17 00:00:00,171.034402337814
eth,2020-01-18 00:00:00,175.074978375219
eth,2020-01-19 00:00:00,166.791822443016
eth,2020-01-20 00:00:00,166.927411046172
eth,2020-01-21 00:00:00,169.171668731736
eth,2020-01-22 00:00:00,167.545226271186
eth,2020-01-23 00:00:00,162.156525599065
eth,2020-01-24 00:00:00,162.247590707189
eth,2020-01-25 00:00:00,160.521455172414
eth,2020-01-26 00:00:00,167.159112974868
eth,2020-01-27 00:00:00,169.934313676213
eth,2020-01-28 00:00:00,175.276188486265
eth,2020-01-29 00:00:00,174.676776680304
eth,2020-01-30 00:00:00,184.256748977206
eth,2020-01-31 00:00:00,180.163670368206
eth,2020-02-01 00:00:00,183.562507656341
eth,2020-02-02 00:00:00,188.398108533022
eth,2020-02-03 00:00:00,189.341644067797
eth,2020-02-04 00:00:00,188.276665984804
eth,2020-02-05 00:00:00,205.125087901812
eth,2020-02-06 00:00:00,212.849642723553
eth,2020-02-07 00:00:00,222.863079719462
eth,2020-02-08 00:00:00,223.973379602572
eth,2020-02-09 00:00:00,228.467053126826
eth,2020-02-10 00:00:00,224.139831618936
eth,2020-02-11 00:00:00,237.649539333723
eth,2020-02-12 00:00:00,266.649455289304
eth,2020-02-13 00:00:00,267.940001870251
eth,2020-02-14 00:00:00,284.830649094097
eth,2020-02-15 00:00:00,265.033846464056
eth,2020-02-16 00:00:00,261.128690531853
eth,2020-02-17 00:00:00,266.608233372297
eth,2020-02-18 00:00:00,283.564988310929
eth,2020-02-19 00:00:00,261.077341028638
eth,2020-02-20 00:00:00,258.631871011105
eth,2020-02-21 00:00:00,265.90940414962
eth,2020-02-22 00:00:00,261.763375803624
eth,2020-02-23 00:00:00,274.979647574518
eth,2020-02-24 00:00:00,264.367167504383
eth,2020-02-25 00:00:00,248.53713220339
eth,2020-02-26 00:00:00,225.706557159556
eth,2020-02-27 00:00:00,226.398922033898
eth,2020-02-28 00:00:00,228.673918468732
eth,2020-02-29 00:00:00,220.10229421391
eth,2020-03-01 00:00:00,218.6236685564
eth,2020-03-02 00:00:00,231.194931618936
eth,2020-03-03 00:00:00,224.283570017534
eth,2020-03-04 00:00:00,224.156026826417
eth,2020-03-05 00:00:00,227.813605844535
eth,2020-03-06 00:00:00,244.330236002338
eth,2020-03-07 00:00:00,238.059852600818
eth,2020-03-08 00:00:00,202.765954997078
eth,2020-03-09 00:00:00,200.151101052016
eth,2020-03-10 00:00:00,200.851090531853
eth,2020-03-11 00:00:00,194.236009351257
eth,2020-03-12 00:00:00,110.32820163647
eth,2020-03-13 00:00:00,134.759985680888
eth,2020-03-14 00:00:00,122.078151256575
eth,2020-03-15 00:00:00,123.754734073641
eth,2020-03-16 00:00:00,110.34905873758
eth,2020-03-17 00:00:00,117.783463763881
eth,2020-03-18 00:00:00,117.683343658679
eth,2020-03-19 00:00:00,137.357502980713
eth,2020-03-20 00:00:00,131.532323261251
eth,2020-03-21 00:00:00,132.511633430742
eth,2020-03-22 00:00:00,122.442055523086
eth,2020-03-23 00:00:00,135.589770601987
eth,2020-03-24 00:00:00,139.414792226768
eth,2020-03-25 00:00:00,136.095511981297
eth,2020-03-26 00:00:00,138.608215488019
eth,2020-03-27 00:00:00,133.681614728229
eth,2020-03-28 00:00:00,131.027766510812
eth,2020-03-29 00:00:00,125.178745470485
eth,2020-03-30 00:00:00,132.902320514319
eth,2020-03-31 00:00:00,133.508133372297
eth,2020-04-01 00:00:00,135.85480654588
eth,2020-04-02 00:00:00,141.151746639392
eth,2020-04-03 00:00:00,141.727211279953
eth,2020-04-04 00:00:00,144.336282700175
eth,2020-04-05 00:00:00,142.972632963179
eth,2020-04-06 00:00:00,169.609724313267
eth,2020-04-07 00:00:00,164.21725949737
eth,2020-04-08 00:00:00,173.294784336645
eth,2020-04-09 00:00:00,170.28360490941
eth,2020-04-10 00:00:00,157.550598188194
eth,2020-04-11 00:00:00,158.431649327878
eth,2020-04-12 00:00:00,160.649303331385
eth,2020-04-13 00:00:00,157.198628579778
eth,2020-04-14 00:00:00,159.006158445354
eth,2020-04-15 00:00:00,152.951140736411
eth,2020-04-16 00:00:00,172.970440327294
eth,2020-04-17 00:00:00,172.23222063121
eth,2020-04-18 00:00:00,188.109414903565
eth,2020-04-19 00:00:00,181.230814377557
eth,2020-04-20 00:00:00,171.013763296318
eth,2020-04-21 00:00:00,171.489232904734
eth,2020-04-22 00:00:00,182.581804178843
eth,2020-04-23 00:00:00,185.6463264173
eth,2020-04-24 00:00:00,187.621841320865
eth,2020-04-25 00:00:00,193.785201928697
eth,2020-04-26 00:00:00,197.062440268849
eth,2020-04-27 00:00:00,196.565708679135
eth,2020-04-28 00:00:00,197.466412565751
eth,2020-04-29 00:00:00,215.38395207481
eth,2020-04-30 00:00:00,206.88486528346
eth,2020-05-01 00:00:00,212.713617767387
eth,2020-05-02 00:00:00,214.133870601987
eth,2020-05-03 00:00:00,210.090575306838
eth,2020-05-04 00:00:00,206.961926592636
eth,2020-05-05 00:00:00,204.885417007598
eth,2020-05-06 00:00:00,202.736075569842
eth,2020-05-07 00:00:00,212.990972822911
eth,2020-05-08 00:00:00,212.413128872005
eth,2020-05-09 00:00:00,210.774871127995
eth,2020-05-10 00:00:00,187.542486849795
eth,2020-05-11 00:00:00,185.715372296902
eth,2020-05-12 00:00:00,189.818459438925
eth,2020-05-13 00:00:00,199.938022559907
eth,2020-05-14 00:00:00,203.532877030976
eth,2020-05-15 00:00:00,195.121980303916
eth,2020-05-16 00:00:00,200.819766218586
eth,2020-05-17 00:00:00,207.07257685564
eth,2020-05-18 00:00:00,214.748162478083
eth,2020-05-19 00:00:00,213.820466744594
eth,2020-05-20 00:00:00,209.804793103448
eth,2020-05-21 00:00:00,198.91755698422
eth,2020-05-22 00:00:00,207.063677673875
eth,2020-05-23 00:00:00,206.906197253068
eth,2020-05-24 00:00:00,202.376306370544
eth,2020-05-25 00:00:00,204.292245002922
eth,2020-05-26 00:00:00,200.86048918761
eth,2020-05-27 00:00:00,207.498003798948
eth,2020-05-28 00:00:00,219.378571011105
eth,2020-05-29 00:00:00,220.784826300409
eth,2020-05-30 00:00:00,243.572401285798
eth,2020-05-31 00:00:00,231.444047457627
eth,2020-06-01 00:00:00,249.07495295149
eth,2020-06-02 00:00:00,237.179632554062
eth,2020-06-03 00:00:00,243.934139450614
eth,2020-06-04 00:00:00,243.647765984804
eth,2020-06-05 00:00:00,240.312976037405
eth,2020-06-06 00:00:00,242.019700292227
eth,2020-06-07 00:00:00,244.384643483343
eth,2020-06-08 00:00:00,245.968303565167
eth,2020-06-09 00:00:00,244.326140970193
eth,2020-06-10 00:00:00,247.704879544126
eth,2020-06-11 00:00:00,230.904400935126
eth,2020-06-12 00:00:00,237.162442723554
eth,2020-06-13 00:00:00,238.090407890123
eth,2020-06-14 00:00:00,232.137277089421
eth,2020-06-15 00:00:00,231.19783974284
