asset,time,PriceUSD,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
btc,2021-06-08,33475.0489234366,0.0,1183102.8519450037,0.0,-17091408.890119553,-0.0,-0.0,46824.08683484488,36487.85766354404,45.31177914940628,1.6530368769530255,36845.821120724715,40653.91803395739,33037.72420749204,20.670441300550777,0.057420376359765164,0.0,0.0,36164.062969398015,36164.062969398015,36164.062969398015,0.0,0.0,0.0,1.0,33475.0489234366,40799.4021475745,37137.22553550555,19.878382409065548,0.0,1435.2547998056957,15.721301625617121,-3308.072878806219,-3581.527927139578,273.4550483333592,35993.26383433664,38611.8850090388,36254.26023110478,39562.333109911,1.0,1.0,0.0,-1.226577185397089,0.0,-1249.1031697019134,-233.07933727869005,-264.9929924057719,31.913655127081825,36317.5996683226,41736.22241227355,39026.91104029807,46105.5874092636,67.08826635722349,27.138736438587042,34.146850436616816,65.85314956338317,-141.19034331094787,53946.95175175335,56196.2895286382,0.0,100.0,-100.0,35409.5672366452,39051.44555998008,0.0,0.0,34.146850436616816,0.24201454926413607,0.352691565401769,0.49188982533806785,-27.702593464960483,32.58108532254243,0.0,7.672476980723559,-100.0,-7535.275610318713,-13.076333546374736,-8.361672881161535,-8.642924896871353,0.2812520157098177,-8.361672881161535,-8.642924896871353,0.2812520157098177,38329.174795656974,-0.7408732743910629,-0.7436313715484033,366.8354133355401
btc,2021-06-09,37372.9888953828,0.0,1220475.8408403865,0.0,6161316.277956644,0.0,0.0,51175.91519571164,36344.060698963236,44.89841872128825,1.6530368769530255,36674.50045811514,40038.07290540663,33310.92801082364,18.34283987662181,0.603831335315836,0.0,0.0,36336.14498190531,36336.14498190531,36336.14498190531,0.0,0.0,1.0,0.0,33475.0489234366,39194.8588980129,36334.953910724755,15.59614964928758,0.6814806766784137,1681.5233170197455,14.673178357671752,-2973.787131088997,-3459.979767929462,486.1926368404652,36141.28641303331,38126.33089343389,36426.3723333014,39400.159464390395,1.0,1.0,0.0,-1.1984101612820868,0.0,-1992.6820910783354,-221.63350411742678,-256.33328822762695,34.69978411020017,36317.5996683226,40261.506128287554,38289.552898305075,46105.5874092636,83.54413317861174,25.92661580028268,44.915476248837024,55.08452375116296,32.39572775035836,53946.95175175335,56196.2895286382,0.0,96.0,-96.0,35409.5672366452,38828.38969451834,0.0,0.0,44.91547624883702,1.0,0.5055036752387739,0.4460443687413355,-25.038117925841945,46.15181423317552,68.5641228913668,22.85470763045559,-31.435877108633207,-6874.188892759659,4.989985163250025,-7.547652526068292,-8.423870422710742,0.8762178966424496,-7.547652526068292,-8.423870422710742,0.8762178966424496,38312.128125448486,11.644314488864449,11.014786837598756,421.1951970097207
btc,2021-06-10,36826.0022185856,0.0,1183649.8386218008,0.0,2403509.299209927,-0.0,-0.0,50636.934151683905,36214.25463727316,45.20935369449816,1.6288432233365373,36657.08401397428,40013.72380703574,33300.44422091282,18.31373052903966,0.5251618009415983,0.0,0.0,36287.44771406194,36287.44771406194,36287.44771406194,0.0,0.0,1.0,0.0,33475.0489234366,39194.8588980129,36334.953910724755,15.603559662290134,0.5858504583270223,1568.0696529974907,13.421573231350033,-2721.627295771985,-3312.309273497967,590.681977725982,36319.96840066238,37733.178542874164,36487.85385411436,39209.48114988634,1.0,1.0,0.0,-1.1609929264790375,0.0,-1004.9152436644799,-211.30846654536793,-247.1640879711214,35.85562142575347,36317.5996683226,39748.7763162186,38033.1879922706,46105.5874092636,91.77206658930587,24.955816462985855,43.83228746093643,56.16771253906355,7.9183697123939165,52892.04461411455,55246.80082378725,0.0,92.0,-92.0,35409.5672366452,38614.256063675064,0.0,0.0,43.83228746093642,0.9213022851770154,0.7211056114803837,0.5264336173736422,-23.171598014695068,40.797944009609964,58.94271722637953,42.50228003924877,-41.05728277362047,-5987.517595302372,6.1824435756423,-6.941247922582812,-8.127345922685155,1.1860980001023433,-6.941247922582812,-8.127345922685155,1.1860980001023433,38301.236678836394,-1.4635882570922076,-1.4744043753799119,413.5670453097578
btc,2021-06-11,37185.3931268264,0.0,1220835.2317486273,0.0,3969306.8577715526,0.0,0.0,50999.832413890515,36328.6798174428,52.42284412424322,1.6288432233365373,36634.182680397425,39969.7760704671,33298.58929032775,18.210278739776655,0.5826255454381775,0.0,0.0,36339.84921489771,36339.84921489771,36339.84921489771,0.0,0.0,1.0,0.0,33475.0489234366,39194.8588980129,36334.953910724755,15.613314003691167,0.6486831240691078,1447.2017785218216,11.816932250512886,-2464.381115356002,-3142.7236418695743,678.3425265135725,36447.737097038764,37393.289674329,36595.16758837775,39059.54870373375,1.0,1.0,0.0,-1.1149534398430996,0.0,678.7922166218777,-199.60287292716302,-237.96971745716212,38.3668445299991,36317.5996683226,38483.72220338985,37400.66093585623,46105.5874092636,95.88603329465292,23.919735608717783,44.774657748383575,55.22534225161642,26.176279686316988,52379.3148020456,54734.071011718304,0.0,88.0,-88.0,35409.5672366452,38408.68777806553,0.0,0.0,44.77465774838357,0.9897690095075995,0.9703570982282047,0.7323221283157876,-21.367074004590396,50.381080684350124,65.26434418215817,64.25706143330149,-34.73565581784184,-5060.714759446841,4.300507961786124,-6.309292342439248,-7.763735206635974,1.454442864196726,-6.309292342439248,-7.763735206635974,1.454442864196726,38292.65444162587,0.9759161640940262,0.9711848597683925,418.5790291183958
btc,2021-06-12,35669.1712817066,0.0,1185166.0604669207,0.0,-4323790.792573428,-0.0,-0.0,49545.434002390946,36394.71561606597,52.226160546598486,1.5624276910581782,36678.93088338691,39936.61738087007,33421.244385903745,17.7632576469598,0.34501891104923205,0.0,0.0,36142.82077573932,36142.82077573932,36142.82077573932,0.0,0.0,0.0,1.0,33475.0489234366,39194.8588980129,36334.953910724755,15.59426580006176,0.38360056855429536,1454.1037851816193,10.096746353973467,-2355.7030173148014,-2985.31951695862,629.6164996438188,36310.75346242937,37092.39643580452,36452.70661812065,38808.40963543545,1.0,1.0,0.0,-1.0697280847911474,0.0,-17.552764918204048,-188.66185276810393,-229.0414147710611,40.37956200295719,35424.0189094097,38132.42915780246,36778.22403360608,46105.5874092636,97.94301664732646,23.410709444535776,41.603315344915174,58.396684655084826,-49.79460810923288,51002.3356230421,53469.016898889546,0.0,84.0,-84.0,35409.5672366452,38211.34222388037,0.0,0.0,41.60331534491516,0.7036172651973551,0.8715628532939897,0.8543418543341929,-20.68909040745967,49.893876324349456,38.594251346566445,54.26710425170137,-61.405748653433555,-4006.5898667360016,-4.40544775604053,-6.07008387987082,-7.4250049412829435,1.3549210614121234,-6.07008387987082,-7.4250049412829435,1.3549210614121234,38234.90149538989,-4.077466224300752,-4.162926010792489,397.4341443597865
btc,2021-06-13,38925.4194289889,0.0,1224091.4798959095,0.0,14401154.306055844,0.0,0.0,53098.945910385206,36638.83683174384,52.84787895734037,1.5624276910581782,36693.68139890414,39989.03262474027,33398.33017306801,17.96140970436695,0.8386191451441567,0.0,0.0,36119.34767731735,36119.34767731735,36119.34767731735,0.0,0.0,1.0,0.0,33475.0489234366,39194.8588980129,36334.953910724755,15.587997051577162,0.9528936327917154,1634.3182213916873,8.87459779598734,-1983.953053911675,-2785.046224349231,801.0931704375562,36499.42357163938,36943.76605260531,36833.12397363884,38817.07702755051,1.0,1.0,0.0,-1.0098456892782315,0.0,945.7742743863564,-176.990247746451,-219.62496929980978,42.63472155335879,36200.23417621275,37137.22553550555,36668.72985585915,46105.5874092636,98.97150832366323,21.763802038929214,49.82299711697805,50.177002883021935,108.98422336794334,50231.96183204265,53117.72385330215,4.0,80.0,-76.0,33475.0489234366,38211.34222388037,1.0,0.0,49.82299711697805,1.0,0.8977954249016514,0.9132384588079487,-17.53007431603896,58.98716223118838,95.87112060106577,66.57657204326345,-4.128879398934235,-2417.1772858923287,6.175548838355455,-5.111031550633139,-6.962210263152984,1.851178712519845,-5.111031550633139,-6.962210263152984,1.851178712519845,38238.62318487654,9.129026636378024,8.736072679334583,442.84503989683054
btc,2021-06-14,40455.5959833431,0.0,1264547.0758792527,0.0,21187304.328924652,0.0,0.0,54689.27442512526,36889.764119513224,53.45432401969473,1.5624276910581782,36802.97264433371,40428.596719051035,33177.34856961639,19.702887099667656,1.0037233954397446,1.0,0.0,36476.46992013442,36476.46992013442,36476.46992013442,0.0,0.0,1.0,0.0,33475.0489234366,40455.5959833431,36965.32245338985,18.96734572874574,1.0,1623.9040546879385,8.188818271331616,-1548.0214423064826,-2537.6412679406817,989.6198256341991,36734.10193081043,37051.96128266645,37390.427359747184,38938.44880205367,1.0,1.0,0.0,-0.9330675993256194,0.0,2357.1777688748844,-156.38705355861035,-208.62567195718873,52.23861839857838,36965.32245338985,37137.22553550555,37051.2739944477,46105.5874092636,99.48575416183161,20.660607593146555,53.159539898986,46.84046010101398,166.38336115251496,47658.317136835205,50544.0791580947,0.0,76.0,-76.0,33584.05633354765,38211.34222388037,0.0,0.0,53.159539898986004,1.0,0.9012057550657847,0.8901880110871421,-13.828960264457423,68.67182873057155,100.0,78.15512398254405,-0.0,-1325.4644957884957,7.48188372992592,-3.975560120989817,-6.36488023472035,2.389320113730533,-3.975560120989817,-6.36488023472035,2.389320113730533,38333.220998519246,3.9310470556282118,3.8557484185066215,464.18453385431866
btc,2021-06-15,40254.6514679135,0.0,1224292.4244113392,0.0,17004982.077220105,-0.0,-0.0,54489.32800890294,37167.04268044648,52.687999161938194,1.5546670520750636,36855.96227282875,40647.071833152695,33064.852712504806,20.57257131022655,0.9482446551603136,0.0,0.0,36960.978343261246,36960.978343261246,36960.978343261246,0.0,0.0,1.0,0.0,33475.0489234366,40455.5959833431,36965.32245338985,18.94007544351311,0.971213643614876,1481.6081007621044,7.728304125278578,-1204.8680732790672,-2271.0866290083586,1066.2185557292914,36825.31035203584,37031.009333448725,37831.077222542,39035.94529582107,1.0,1.0,0.0,-0.8467695524983397,0.0,28.411282343651692,-137.6687285512347,-196.2180552105701,58.54932665933541,36965.32245338985,36965.32245338985,36965.32245338985,46105.5874092636,99.7428770809158,19.565462262179903,52.66428647980672,47.33571352019327,149.63394667527982,46248.3802449591,50544.0791580947,96.0,72.0,24.0,33858.91791953947,38211.34222388037,0.0,0.0,52.66428647980671,0.9739514275368816,0.9913171425122936,0.9301061074932434,-10.982738206390055,69.30719448864707,97.12136436148761,97.66416165418445,-2.878635638512391,-324.5080690603936,2.7949357782234934,-3.08656051274888,-5.709216290326056,2.622655777577176,-3.08656051274888,-5.709216290326056,2.622655777577176,38478.46944070639,-0.496703881243854,-0.49794155505562543,461.3822073772867
btc,2021-06-16,38265.5437726476,0.0,1186026.8806386916,0.0,3702229.2688018866,-0.0,-0.0,52598.5083195963,37213.74400886059,45.227824632946266,1.4778461112870462,36843.696609371706,40614.84478652409,33072.54843221932,20.4710630267927,0.6885164804568275,0.0,0.0,37215.47228506137,37215.47228506137,37215.47228506137,0.0,0.0,1.0,0.0,33475.0489234366,40455.5959833431,36965.32245338985,18.946380798638142,0.6862635274999733,1532.358060212484,7.585197006338036,-1080.9602860761806,-2033.0613604219232,952.1010743457425,36940.40787015877,37072.97905157352,37897.91823025055,38978.87851632673,1.0,1.0,0.0,-0.7652208102278522,0.0,-1434.1293727265074,-122.98451568697408,-183.14628657555798,60.1617708885839,36965.32245338985,36965.32245338985,36965.32245338985,46105.5874092636,99.8714385404579,18.46700435645268,47.90647420900061,52.09352579099939,63.110821884611994,45770.54599975163,50309.98470791935,92.0,68.0,24.0,34122.785042091615,38211.34222388037,0.0,0.0,47.90647420900062,0.7237073849871425,0.8992196041746744,0.9305808339175844,-9.892267703768605,53.23513195971947,68.62635274999732,88.58257237049497,-31.37364725000267,218.08296308454737,3.7445944836482483,-2.773194938441876,-5.122012019949221,2.348817081507345,-2.773194938441876,-5.122012019949221,2.348817081507345,38472.80442713684,-4.941311432919482,-5.067571074127386,433.64256418177706
btc,2021-06-17,38018.6432346581,0.0,1148008.2374040335,0.0,1832364.592077611,-0.0,-0.0,52353.20085646343,37125.705692903706,37.46368872353502,1.4683106137096333,36964.79287355347,40723.51740626713,33206.06834083982,20.336781247882175,0.6401872299941844,0.0,0.0,37644.84583334892,37644.84583334892,37644.84583334892,0.0,0.0,1.0,0.0,33475.0489234366,40455.5959833431,36965.32245338985,18.884312658764387,0.6508937297075336,1403.8123079901857,7.75412781635394,-991.2586690921598,-1824.7008221559706,833.4421530638108,37157.83086999318,37087.41072220024,37916.49130785171,38907.74997694387,1.0,1.0,0.0,-0.6899911132281024,0.0,-1244.1885189070745,-105.82505172037429,-169.0069215135229,63.18186979314862,38062.38363252485,36965.32245338985,37513.853042957344,46105.5874092636,99.93571927022896,17.528670172418042,47.33483711001611,52.6651628899839,47.016808262663965,45770.54599975163,50309.98470791935,88.0,64.0,24.0,34376.09747974167,38211.34222388037,0.0,0.0,47.33483711001611,0.6936413020105114,0.7971000381781783,0.8958789282883822,-9.164670481860192,52.45338368309778,65.08937297075336,76.94569669407942,-34.91062702924665,1040.293608570515,7.368279822727626,-2.54771522300715,-4.607152660560807,2.0594374375536573,-2.54771522300715,-4.607152660560807,2.0594374375536573,38443.97391663241,-0.6452293986894508,-0.6473200012141689,430.19934547375607
btc,2021-06-18,35714.3120787259,0.0,1112293.9253253075,0.0,-10186202.069032565,-0.0,-0.0,50188.53649619845,37045.42690310301,37.62984158847384,1.3793154890579302,37016.41755913793,40675.33756432283,33357.497553953035,19.76917403927247,0.3220642322643196,0.0,0.0,37868.77214887785,37868.77214887785,37868.77214887785,0.0,0.0,0.0,1.0,33475.0489234366,40455.5959833431,36965.32245338985,18.857975785350586,0.32078619857041624,1493.8641927843867,8.213114145335044,-1093.504518149508,-1678.4615613546782,584.9570432051703,37157.30651366647,37123.568601308274,37577.69450337082,38671.199021520326,1.0,1.0,0.0,-0.6320579610742187,0.0,-3291.509807355331,-93.8214625478814,-154.8055835613512,60.9841210134698,38062.38363252485,36965.32245338985,37513.853042957344,46105.5874092636,99.96785963511448,17.38150408569481,42.265827520853584,57.73417247914641,-60.171338713494656,43833.12591801577,49109.922768176504,84.0,60.0,24.0,34619.27741988573,38211.34222388037,0.0,0.0,42.26582752085359,0.4270293847856842,0.6147926905944459,0.7703707776490996,-10.024246550191258,45.098599048171316,32.07861985704162,55.26478185926408,-67.92138014295837,731.4148224712117,-0.01761525605228811,-2.82769747465285,-4.251261623379215,1.4235641487263653,-2.82769747465285,-4.251261623379215,1.4235641487263653,38382.886573768905,-6.061055734444376,-6.252514384332741,398.06366764093235
btc,2021-06-19,35555.9763966686,0.0,1076737.9489286388,0.0,-9535284.598310754,-0.0,-0.0,50030.90277889291,37055.02968541589,37.609439599697126,1.3732004375275864,37011.60794045587,40677.93386716477,33345.28201374697,19.81176247520655,0.3014863417920505,0.0,0.0,37687.07089900643,37687.07089900643,37687.07089900643,0.0,0.0,0.0,1.0,33475.0489234366,40455.5959833431,36965.32245338985,18.860426359040577,0.2981037811755504,1360.3113417116783,8.442167091611548,-1173.7808415562758,-1577.5254173949977,403.74457583872186,37309.89556740698,37005.32118892461,37266.660948493554,38440.44179004983,1.0,1.0,0.0,-0.5879835154339325,0.0,-3536.5590170192663,-86.5168202325526,-140.93984508214947,54.42302484959687,38005.78619000585,36965.32245338985,37485.55432169785,46105.5874092636,99.98392981755724,17.29232040930551,41.93353369187768,58.06646630812231,-67.04239230229562,43576.7610119813,49109.922768176504,80.0,56.00000000000001,23.999999999999993,34852.73016242402,38211.34222388037,0.0,0.0,41.933533691877685,0.4095519085120829,0.5100741984360927,0.6406556424029057,-10.819260594762998,49.411702638372795,29.810378117555043,42.32612364845,-70.18962188244495,59.32994373431575,5.429425214036989,-3.0535050766770966,-4.011710314038792,0.9582052373616956,-3.0535050766770966,-4.011710314038792,0.9582052373616956,38315.08015719247,-0.4433395824852471,-0.4443252467176251,395.85555425630236
btc,2021-06-20,35599.9418784337,0.0,1112337.8908070726,0.0,-7949505.570624219,0.0,0.0,50074.922624615436,37047.033141016494,37.58140946509953,1.3732004375275864,36925.95628952659,40639.848693092106,33212.06388596108,20.115348533946545,0.3214791562324408,0.0,0.0,37564.46486499124,37564.46486499124,37564.46486499124,0.0,0.0,0.0,1.0,33475.0489234366,40455.5959833431,36965.32245338985,18.904174086038243,0.30440206716772183,1228.6767557170208,8.71480426634559,-1219.7917591665682,-1505.9786857493118,286.1869265827436,37486.9699803234,36902.635450604685,37010.24263002281,38230.03438918938,1.0,1.0,0.0,-0.5539186942899372,0.0,447.0326058562059,-77.66624843617423,-127.39133124981741,49.72508281364318,38005.78619000585,36965.32245338985,37485.55432169785,46105.5874092636,99.99196490877861,17.19005078949301,42.06972713403475,57.930272865965236,-59.1538867191578,42944.233955566924,49109.922768176504,76.0,52.0,24.0,35076.84479526078,38211.34222388037,0.0,0.0,42.06972713403476,0.41671520029290293,0.4177654978635565,0.5142107956313652,-11.437778801392442,35.38511545816396,30.440206716772185,30.77640156378961,-69.55979328322782,-639.4809857819491,6.347691858067507,-3.1906635153629335,-3.8475009543036203,0.6568374389406868,-3.1906635153629335,-3.8475009543036203,0.6568374389406868,38270.505266515414,0.12365145390642596,0.12357506845752653,396.46868685841594
btc,2021-06-21,31715.1598624196,0.0,1080622.730944653,0.0,-24414788.013183605,-0.0,-0.0,46614.06071958019,36936.238789799034,37.841227888510645,1.2233523174855272,36678.64537672413,41033.507670083934,32323.78308336433,23.746036685004455,-0.06987858397643769,0.0,1.0,37017.44153855056,37017.44153855056,37017.44153855056,0.0,0.0,0.0,1.0,31715.1598624196,40455.5959833431,36085.37792288135,23.829768060273242,0.0,1494.287281746729,9.766129169147032,-1551.836578980132,-1515.150264395476,-36.686314584655975,37015.48422757647,36614.954718466484,36195.614511930005,37747.45109091014,1.0,1.0,0.0,-0.5462931552641103,0.0,147.35684186146682,-78.66192736438123,-115.16911731607041,36.507189951689185,36085.37792288135,36085.37792288135,36085.37792288135,45225.6428787551,57.80084604690184,18.19168765957327,34.393516514691676,65.6064834853083,-188.83569834139814,42768.58743277322,49109.922768176504,72.0,100.0,-28.0,35076.84479526078,40455.5959833431,0.0,1.0,34.3935165146917,0.012973760422642687,0.27974695640920927,0.40252888423628624,-14.414621983837819,18.984831647277193,0.0,20.083528278109068,-100.0,-1623.8327816584715,-15.138818703532127,-4.111102959621625,-3.900221355367221,-0.2108816042544035,-4.111102959621625,-3.900221355367221,-0.2108816042544035,37748.427394422135,-10.912326849520749,-11.554920956183068,342.29240104290193
btc,2021-06-22,32394.5555949737,0.0,1113017.2865396268,0.0,-17782857.892841436,0.0,0.0,47308.010329945886,36875.41165768258,43.52044774603904,1.2233523174855272,36416.4003728083,41125.51808127915,31707.282664337446,25.86262046913948,0.07297257927955089,0.0,0.0,36689.97996987727,36689.97996987727,36689.97996987727,0.0,0.0,0.0,1.0,31715.1598624196,40455.5959833431,36085.37792288135,24.001373094112502,0.0777301868184484,1412.7981268274657,10.417533354455015,-1740.104096419709,-1560.1410308003226,-179.9630656193865,36646.197008942145,36379.712355127456,35610.83621701365,37350.94031343336,1.0,1.0,0.0,-0.5527514321127928,0.0,768.9927540181016,-75.30818430054718,-103.87111026652556,28.56292596597838,36085.37792288135,36085.37792288135,36085.37792288135,45225.6428787551,28.90042302345092,18.810397487564728,36.573187374273154,63.42681262572684,-139.75833317098164,42270.98562162477,49109.922768176504,68.0,96.0,-28.0,35076.84479526078,40280.787260924626,0.0,0.0,36.573187374273175,0.11614985311196466,0.18194627127583654,0.29315290851620085,-16.227492073416116,24.020899266098997,7.77301868184484,12.737741799539,-92.22698131815517,-2594.29841527831,-12.033471885730261,-4.658795954847424,-4.051936275263262,-0.6068596795841614,-4.658795954847424,-4.051936275263262,-0.6068596795841614,37528.96948078861,2.1421797509497686,2.119557581972842,351.7670992980325
btc,2021-06-23,33610.4968129749,0.0,1146627.7833526016,0.0,-9404108.417807762,0.0,0.0,48569.59233598938,36623.87567804486,42.71316218651517,1.2233523174855272,36138.917692796604,40822.59030539301,31455.2450802002,25.92038119354072,0.23008138175353118,0.0,0.0,36158.48770827587,36158.48770827587,36158.48770827587,0.0,0.0,0.0,1.0,31715.1598624196,40455.5959833431,36085.37792288135,24.18566099633273,0.2168469541260196,1393.1124359448395,11.290988389897533,-1770.7787311951251,-1602.2685708792833,-168.51016031584186,36348.288982787846,36303.3192344333,35303.091693315386,37073.87042451051,1.0,1.0,0.0,-0.5615714273249208,0.0,-469.7464110900037,-75.57376051019735,-94.89185548336856,19.318094973171213,35984.90566516655,36085.37792288135,36035.14179402395,45225.6428787551,14.45021151172546,18.839611281255277,40.39030470038381,59.60969529961619,-89.00530943641247,42270.98562162477,49109.922768176504,64.0,92.0,-28.0,35076.84479526078,40109.47471295453,0.0,0.0,40.39030470038383,0.31955561723913095,0.14955974359124588,0.20375099042543066,-16.651519169365034,30.379298390414984,21.684695412601958,9.819238031482255,-78.31530458739805,-2803.6230762343985,-9.613711227036841,-4.77635248469881,-4.196819517150372,-0.5795329675484382,-4.77635248469881,-4.196819517150372,-0.5795329675484382,37113.323570365435,3.75353572743522,3.6848051842611085,368.72433877498196
btc,2021-06-24,34658.972875979,0.0,1181286.7562285806,0.0,-2869363.868296326,0.0,0.0,49650.775504181765,36475.171974939825,49.55284820389296,1.2233523174855272,36027.64765883694,40740.838881752796,31314.456435921085,26.164301747076696,0.3548038135814064,0.0,0.0,35578.82539753946,35578.82539753946,35578.82539753946,0.0,0.0,0.0,1.0,31715.1598624196,40455.5959833431,36085.37792288135,24.260357500136767,0.3368039046143573,1358.6487986507655,11.815800421261285,-1690.9926339710437,-1620.0133834976355,-70.97925047340823,36264.10578231055,36302.440561700314,35203.99649064825,36894.98912461929,1.0,1.0,0.0,-0.5654308707412328,0.0,2897.7717701519578,-79.32226904365316,-88.40891553808173,9.086646494428564,34990.3518175336,36085.37792288135,35537.86487020747,45225.6428787551,7.22510575586273,18.416030037526404,43.54526306547448,56.45473693452553,-47.814658943010045,41823.65538179428,49063.7283407364,60.0,88.0,-28.0,35076.84479526078,39941.58841594383,0.0,0.0,43.54526306547449,0.4876763906434266,0.30779395366484047,0.21309998951064105,-16.090692865833603,37.32886158631364,33.68039046143573,21.04603485196083,-66.31960953856428,-2909.042656095138,-2.83213309821328,-4.583258252928114,-4.27410726430592,-0.3091509886221937,-4.583258252928114,-4.27410726430592,-0.3091509886221937,36793.44330958961,3.119489928513497,3.071822624303344,383.34614731555894
btc,2021-06-25,31683.5032004676,0.0,1149603.253028113,0.0,-15927069.456676818,-0.0,-0.0,46930.749630238526,36120.50745159793,42.969352353046666,1.1183276320694289,35841.34445702806,40918.08056452183,30764.608349534297,28.328937903434465,0.0905005530597624,0.0,0.0,34721.71057079487,34721.71057079487,34721.71057079487,0.0,0.0,0.0,1.0,31683.5032004676,40455.5959833431,36069.54959190535,24.474787192742696,0.0,1520.330886336829,13.09121363367434,-1846.5709919249202,-1665.3249051830926,-181.24608674182764,35660.612763267105,36149.79957824484,34662.382138312765,36508.953130237685,1.0,1.0,0.0,-0.5798097255401521,0.0,4614.251526315034,-86.94777593048784,-84.40483334291658,-2.542942587571261,34851.07321756285,36069.54959190535,35460.3114047341,45209.8145477791,3.612552877931365,18.88884171807785,37.48230321737671,62.5176967826233,-134.73140363068876,41823.65538179428,49063.7283407364,56.00000000000001,100.0,-43.99999999999999,35076.84479526078,39777.05984487334,0.0,0.0,37.48230321737672,0.16459463144813583,0.3239422131102309,0.2604319701221059,-17.48014803567746,34.03756926972129,0.0,18.45502862467922,-100.0,-3517.0387270443753,-18.604593951087992,-5.057857959765878,-4.430857403397912,-0.6270005563679657,-5.057857959765878,-4.430857403397912,-0.6270005563679657,35894.99747668805,-8.584990923298829,-8.976050791646983,341.8509244404036
btc,2021-06-26,31890.6764465225,0.0,1181493.9294746355,0.0,-12707931.683106905,0.0,0.0,47139.27754826923,35882.322097811804,49.2651752061508,1.1183276320694289,35649.848061621866,41011.30364184431,30288.39248139942,30.078420367767077,0.14942620909083432,0.0,0.0,34084.223838182355,34084.223838182355,34084.223838182355,0.0,0.0,0.0,1.0,31683.5032004676,40455.5959833431,36069.54959190535,24.606255734141318,0.023617311305613856,1389.0151223086361,14.061258438934301,-1930.8926830362543,-1718.438460753725,-212.45422228252937,34946.86946853206,35941.24963784112,34235.96587803734,36166.8585610736,1.0,1.0,0.0,-0.5988008550715245,0.0,4604.803406291634,-93.44585969583741,-83.02936756241249,-10.416492133424924,33698.90763959675,36069.54959190535,34884.22861575105,45209.8145477791,1.8062764389656825,19.235602548751736,38.12825332624388,61.87174667375614,-112.94277368296147,41823.65538179428,49063.7283407364,52.0,96.0,-44.0,35076.84479526078,39453.317579097115,0.0,0.0,38.128253326243886,0.19901588818640562,0.2837623034259891,0.30516615673368697,-18.403397556203856,36.328326255342816,2.3617311305613855,12.014040530665698,-97.63826886943862,-3397.125681535719,-21.1711614391914,-5.338845450941307,-4.612455012906591,-0.7263904380347155,-5.338845450941307,-4.612455012906591,-0.7263904380347155,35360.829529961404,0.6538836464644593,0.6517551011169687,344.7401153770714
btc,2021-06-27,34506.4911975453,0.0,1216000.4206721808,0.0,2002142.6545622833,0.0,0.0,49969.65302907594,35546.65407034064,48.328266963946696,1.1183276320694289,35688.92723391,41004.89103705133,30372.963430768665,29.79054970355257,0.3887844161329721,0.0,0.0,33733.00863447108,33733.00863447108,33733.00863447108,0.0,0.0,1.0,0.0,31683.5032004676,40455.5959833431,36069.54959190535,24.57931202409652,0.3218146532362968,1511.6950851800525,14.599294323648778,-1766.2832280357834,-1728.0074142101369,-38.27581382564654,34467.856112668036,35858.36937165176,34277.58515796164,36043.868385997426,1.0,1.0,0.0,-0.6058314391500266,0.0,2576.6165387376022,-91.2590207972742,-82.74465181234503,-8.514368984929177,33641.72253945065,36069.54959190535,34855.636065678,45209.8145477791,7.61917966551351,18.46877547534607,45.74998823946378,54.25001176053623,-36.12995144324713,41823.65538179428,49063.7283407364,48.0,92.0,-44.0,35076.84479526078,39142.52500395193,0.0,0.0,45.74998823946378,0.605161332915985,0.3229239508501753,0.3102094891287986,-16.849776717824682,44.01523165442575,32.18146532362968,11.51439881806368,-67.81853467637032,-2853.4468574596685,-14.279493327497791,-4.900370873404813,-4.670038185006236,-0.230332688398577,-4.900370873404813,-4.670038185006236,-0.230332688398577,35325.18459593597,8.202443605764408,7.883376432605971,381.2196725330873
